Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Christian Vazquez (10-day dl)\vazquch01,27,60,218,207,18,44,9,0,3,14,2,1,7,33,.213,.249,.300,.548,46,62,4,3,1,0,0
2,1B,Mitch Moreland*\morelmi01,32,82,307,272,44,74,15,4,12,48,1,0,32,65,.272,.345,.489,.834,120,133,8,0,0,3,1
3,2B,Eduardo Nunez\nunezed02,31,87,350,333,39,85,17,1,6,28,4,2,12,55,.255,.284,.366,.650,73,122,13,2,1,2,0
4,SS,Xander Bogaerts\bogaexa01,25,87,380,341,51,95,30,2,16,64,2,1,31,71,.279,.345,.519,.864,127,177,8,5,0,3,4
5,3B,Rafael Devers*\deverra01,21,96,396,367,45,90,21,0,15,52,5,1,27,97,.245,.295,.425,.721,90,156,6,0,0,2,4
6,LF,Andrew Benintendi*\beninan01,23,99,438,379,72,113,26,6,14,62,18,1,53,75,.298,.381,.509,.891,136,193,5,1,0,5,1
7,CF,Jackie Bradley Jr.*\bradlja02,28,93,348,305,46,65,18,2,8,40,11,0,31,87,.213,.302,.364,.666,78,111,4,9,0,3,2
8,RF,Mookie Betts\bettsmo01,25,86,394,338,83,117,27,3,25,56,20,3,48,51,.346,.431,.666,1.097,188,225,4,5,0,3,6
9,DH,J.D. Martinez\martijd02,30,99,426,380,76,123,23,1,32,86,3,1,40,103,.324,.387,.642,1.029,169,244,10,2,0,4,4
10,2B,Brock Holt*\holtbr01,30,65,222,194,20,54,13,1,1,25,5,3,22,37,.278,.360,.371,.731,97,72,6,4,0,2,1
11,UT,Hanley Ramirez\ramirha01,34,44,195,177,25,45,7,0,6,29,4,1,14,35,.254,.313,.395,.708,89,70,9,2,0,2,0
12,C,Sandy Leon#\leonsa01,29,52,181,166,22,37,8,0,4,19,1,0,10,47,.223,.274,.343,.617,64,57,5,2,2,1,0
13,UT,Blake Swihart#\swihabl01,26,47,111,101,12,22,4,0,1,5,3,1,10,28,.218,.288,.287,.575,56,29,1,0,0,0,0
14,UT,Steve Pearce\pearcst01,35,15,52,43,7,16,5,0,1,6,0,0,5,8,.372,.462,.558,1.020,172,24,0,3,0,1,0
15,IF,Tzu-Wei Lin* (40-man)\lintz02,24,19,49,44,3,8,2,0,0,1,0,1,5,13,.182,.265,.227,.493,35,10,0,0,0,0,0
16,UT,Sam Travis (40-man)\travisa01,24,5,18,16,1,3,1,0,0,3,0,0,2,4,.188,.278,.250,.528,44,4,0,0,0,0,0
17,2B,Dustin Pedroia (10-day dl)\pedrodu01,34,3,13,11,1,1,0,0,0,0,0,0,2,1,.091,.231,.091,.322,-8,1,0,0,0,0,0
